srcdetail,happendate,roadtype,happentime,road,areaNm,y1,modDttm,x1,comment,region,direction,datetime,hash,upload,UID
公路局南區養護工程分局,2023/08/15,道路施工,17:31:00,,(南橫公路)-台20線,22.99282,2023-12-09 14:15:00.0,120.2056,雙向在100.1公里到100.7公里之間台20線雙向100K+190~100K+700(梅蘭明隧道路段)，梅蘭明隧道主體工程、上邊坡刷坡作業及噴凝土護坡工程，占用雙向道路，施工時間自112年8月15日8時至113年3月31日17時止(每日8時至17時施工)，請用路人配合現場交管人員指揮通行。,S,雙向,2023/08/15-17:31:00,73f49a20b8d8afab2ebe40d6700351c1,True,11208150220-0
公路局南區養護工程分局,2023/12/07,道路施工,15:02:00,,(台北楓港)-台１線,24.677423,2023-12-09 14:15:00.0,120.84376,北上在421.5公里到423.2公里之間台1線北上421K+500至423K+200(大同路街路段)，燈增設及路燈管線優化工程，占用北上內側車道，外側車道正常通行，施工時間自112年12月4日8時至12月29日15時止(每日施工8時至17時施工，施工離場交維不撤除，假日不施工)，請用路人行經該路段小心駕駛。,S,北上,2023/12/07-15:02:00,c931ad56850eb942aff34230c42a6aca,True,11212070162-0
公路局中區養護工程分局,2023/11/28,道路施工,08:37:00,,(彰化台南)-台19線,24.045273,2023-12-09 14:15:00.0,120.50773,雙向在4.927公里到7.171公里之間台19線雙向4K+927至7K+171秀水路段，自112年11月28日9時起至113年3月26日16時止，封閉內車道進行鳥嘴潭人工湖下游送水管工程，改行慢車道及路肩，請注意路況並小心駕駛。,M,雙向,2023/11/28-08:37:00,92d350d220d8645f8520eb3dd9097df9,True,11211280098-0
公路局中區養護工程分局,2023/03/31,道路施工,06:16:00,,(內湖豐原)-台13線,24.604834,2023-12-09 14:15:00.0,120.88712,雙向在17.4公里到20.3公里之間台13線雙向17K+400至20K+396造橋路段，自111年9月12日8時起至113年8月01日17時止，既有道路外進行路面改善工程，請依現場交維設施或依疏導路線指示牌面行駛，並請注意路況小心駕駛,M,雙向,2023/03/31-06:16:00,437752315e883b938eb17aacc49e6b0b,True,11203310019-0
公路總局五區養護工程處,2023/05/01,道路施工,09:17:00,,太保塔塔加-台18線,23.455286,2023-12-09 14:15:00.0,120.45921,"雙向在17.5公里軍輝橋改建工程，於112年5月5日下午2點起封閉，至113年10月25日止，施工期間請用路人改行便橋，即嘉義市區往嘉義縣中埔鄉行駛下游通行便橋、嘉義縣中埔鄉往嘉義市區行駛上游通行便橋，腳踏車與行人則走專用道。
<br>因受限改建橋樑兩岸路口轉向空間不足，屆時聯結車將禁行便橋，工區前之重要路口皆設立替代路線導引牌，不便之處，尚祈見諒。",S,雙向,2023/05/01-09:17:00,d7993ab8c0e155aec63cef04d693c2e7,True,11205010048-0
公路局北區養護工程分局,2023/11/02,道路施工,10:31:00,,(北橫公路)-台７線,24.74602,2023-12-09 14:15:00.0,121.34973,雙向在31.08公里到31.6公里之間於112年11月06日20時至113年1月31日05時止(假日不施工)，將辦理台7線31K+110雪霧隧道地滑改善工程，屆時管制路段為台7線31K+080~31K+600路段，施工期間交通管制分三階段放行；第一階段為早上05時至夜間20時為單線雙向管制通車；第二階段為夜間20時至凌晨0時期間，於21:30、23:00、00:00三個時間點放行，每次15分鐘；第三階段為凌晨0點15分至早上05時為雪霧隧道內封閉道路施工。,N,雙向,2023/11/02-10:31:00,dd5db26e2a37fd5bff5e754e156f244d,True,11211020116-0
公路局南區養護工程分局,2023/11/18,道路施工,07:35:00,,(南橫公路)-台20線,22.99282,2023-12-09 14:15:00.0,120.2056,雙向台20線雙向192K+100~195K+462 (新武附近)辦理邊坡保護作業，施工期間採機動管制，行經此路段時請依照現場指揮通行，施工時間自112年11月18日8時至112年12月15日17時止，請用路人行經該路段小心駕駛。,E,雙向,2023/11/18-07:35:00,923e73c088060fc210029e2efd89fb9b,True,11211180022-0
公路局南區養護工程分局,2023/11/30,道路施工,16:28:00,,荖濃烏龍-台27線,23.072775,2023-12-09 14:15:00.0,120.672714,南下台27線南下3K+700~6K+300(新發路段)，計畫型管線汰換工程，占用南下車道，北上車道單線雙向通行，施工時間自112年11月30日8時至12月31日17時止，請用路人行經該路段小心駕駛。,S,南下,2023/11/30-16:28:00,bbb80f21e7baefdcd694adf363960354,True,11211300227-0
公路局東區養護工程分局,2023/02/22,道路施工,11:48:00,,(北部濱海)-台２線,24.938988,2023-12-09 14:15:00.0,121.89078,在122.63公里到123.06公里之間台2線122K+630~123K+060(大溪橋路段)大溪橋改建及拓寬改善工程，於111年4月16日至113年5月8日止，現場不影響交通。(假日施工),E,無,2023/02/22-11:48:00,2927c47e814f4870242d304853c0ce99,True,11202220146-0
公路局南區養護工程分局,2023/11/24,其他,17:29:00,,(南橫公路)-台20線,22.99282,2023-12-09 14:15:00.0,120.2056,"台20臨105線0K~44K(梅山口~向陽)路段，112年11月25日7時起恢復有條件開放一般民眾通行，管制方式:
<br>(一)開放進入時段為上午7時~下午2時，可由梅山管制站及向陽管制站進入。
<br>(二)一般用路人下午2時後禁止進入。
<br>(三)下午3時後自大關山隧道兩端保全進行疏導梅山口至向陽路段一般用路人車離開管制路段，下午5時梅山口至向陽路段全線淨空，不可逾時逗留。
<br>(四)每週星期二及星期四為道路管制日，全日不開放通行。
<br>(五)開放通行車種為未滿5噸貨車及9人座以下客車、大型重機車、機車。
<br>(六)遇颱風期間、地震、大雨、土石流、道路結冰、山嵐起霧、邊坡坍方、路基災害及緊急事故等特殊情形，必要時本分局將公告封閉道路，禁止除公務目的外各式車輛進入。",E,無,2023/11/24-17:29:00,246a13a8ab2c265563d54cdfa23ea9f9,True,11211240227-0
